"Type","cause","Year","Total Deaths"
Bencana Non Alam dan Penyakit,Antraks,2017,1
Bencana Non Alam dan Penyakit,Antraks,2018,0
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2003,0
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2003,0
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2004,0
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2004,0
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2005,13
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2005,13
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2005,13
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2005,13
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2005,13
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2005,13
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2005,13
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2005,13
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2005,13
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2005,13
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2005,13
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2005,13
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2006,45
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2006,45
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2006,45
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2006,45
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2006,45
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2006,45
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2006,45
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2006,45
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2006,45
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2006,45
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2006,45
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2006,45
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2007,37
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2007,37
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2007,37
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2007,37
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2007,37
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2007,37
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2007,37
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2007,37
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2007,37
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2007,37
